typeID,regionID,date,lowPrice,highPrice,avgPrice,volume,orders
34,10000002,2014-07-07,6.09,6.16,6.12,22822843375,2485
34,10000030,2014-07-07,5.65,5.85,5.66,2683242603,804
34,10000032,2014-07-07,5.78,5.94,5.82,1457951617,916
34,10000042,2014-07-07,5.4,5.79,5.66,811656214,585
34,10000043,2014-07-07,5.89,6.0,5.92,3462891076,1102
34,10000002,2014-07-08,6.09,6.16,6.13,21406443698,2280
34,10000030,2014-07-08,5.3099,5.72,5.7,1797557411,748
34,10000032,2014-07-08,5.83,5.88,5.86,1286608329,937
34,10000042,2014-07-08,5.79,5.79,5.79,1152267890,578
34,10000043,2014-07-08,5.87,5.92,5.89,5114807234,1063
34,10000002,2014-07-09,6.0199,6.13,6.07,19349260214,2132
34,10000030,2014-07-09,5.74,5.7699,5.75,1217498502,759
34,10000032,2014-07-09,5.87,5.91,5.88,1036682782,933
34,10000042,2014-07-09,5.42,5.74,5.64,436505733,568
34,10000043,2014-07-09,5.93,5.95,5.93,5333018412,1098
34,10000002,2014-07-10,6.0599,6.09,6.07,29566158301,2235
34,10000030,2014-07-10,5.71,5.89,5.75,1095461372,737
34,10000032,2014-07-10,5.9,5.9,5.9,989367020,917
34,10000042,2014-07-10,5.61,5.84,5.78,997583204,526
34,10000043,2014-07-10,5.76,6.0,5.85,6000208441,1062
34,10000002,2014-07-11,6.05,6.11,6.0599,17795412964,2236
34,10000030,2014-07-11,5.71,5.74,5.72,1007064132,730
34,10000032,2014-07-11,5.6,5.85,5.74,2858900633,973
34,10000042,2014-07-11,5.43,5.65,5.5199,761056856,585
34,10000043,2014-07-11,5.72,5.9,5.8099,2880644659,1002
34,10000002,2014-07-12,6.04,6.14,6.11,25336214495,2494
34,10000030,2014-07-12,5.71,5.88,5.79,2888402543,866
34,10000032,2014-07-12,5.69,5.88,5.86,2518795527,1135
34,10000042,2014-07-12,5.49,5.71,5.59,958179675,665
34,10000043,2014-07-12,5.85,5.91,5.89,4376962764,1199
34,10000002,2014-07-13,5.7,5.91,5.82,24259034015,2369
34,10000030,2014-07-13,5.37,5.88,5.72,1724429099,831
34,10000032,2014-07-13,5.88,5.92,5.89,2762542176,1146
34,10000042,2014-07-13,5.55,5.87,5.74,481518125,598
34,10000043,2014-07-13,5.79,5.9,5.84,4005776214,1184
34,10000002,2014-07-14,5.74,5.87,5.8,19228485917,2108
34,10000030,2014-07-14,5.4,5.7,5.47,1225218832,751
34,10000032,2014-07-14,5.62,5.78,5.75,1538718116,1039
34,10000042,2014-07-14,5.5,5.86,5.57,504020342,577
34,10000043,2014-07-14,5.55,5.79,5.73,3031586990,996
34,10000002,2014-07-15,5.72,5.8099,5.78,16599426420,2128
34,10000030,2014-07-15,5.45,5.7,5.69,1738427609,674
34,10000032,2014-07-15,5.42,5.86,5.64,959462766,903
34,10000042,2014-07-15,5.15,5.79,5.5599,1026251202,561
34,10000043,2014-07-15,5.59,5.84,5.63,4638954742,990
34,10000002,2014-07-16,5.8,5.91,5.86,15163887517,2143
34,10000030,2014-07-16,5.49,5.68,5.54,1094731699,709
34,10000032,2014-07-16,5.43,5.83,5.5599,1470986612,886
34,10000042,2014-07-16,5.58,5.6,5.59,763520302,493
34,10000043,2014-07-16,5.63,5.69,5.65,3104769875,923
34,10000002,2014-07-17,5.73,5.82,5.79,18852500657,2125
34,10000030,2014-07-17,5.5199,5.5199,5.5199,1489644505,711
34,10000032,2014-07-17,5.69,5.72,5.7,1317132216,901
34,10000042,2014-07-17,5.55,5.55,5.55,956533458,458
34,10000043,2014-07-17,5.69,5.71,5.7,2835395449,1011
34,10000002,2014-07-18,5.71,5.82,5.73,15819596986,2028
34,10000030,2014-07-18,5.51,5.54,5.5199,2482097849,751
34,10000032,2014-07-18,5.7,5.72,5.72,1571749727,973
34,10000042,2014-07-18,5.3,5.5599,5.5,678844173,575
34,10000043,2014-07-18,5.45,5.65,5.47,3168461639,880
34,10000002,2014-07-19,5.65,5.74,5.72,16326528864,2394
34,10000030,2014-07-19,5.5,5.5199,5.5,1846390811,868
34,10000032,2014-07-19,5.63,5.76,5.73,1431959592,1095
34,10000042,2014-07-19,5.5199,5.57,5.57,818247272,661
34,10000043,2014-07-19,5.49,5.72,5.62,4425457654,1147
34,10000002,2014-07-20,5.64,5.78,5.72,22823434943,2652
34,10000030,2014-07-20,5.33,5.5199,5.45,1512032631,938
34,10000032,2014-07-20,5.51,5.78,5.6,2104357731,1173
34,10000042,2014-07-20,5.43,5.55,5.51,2219383811,714
34,10000043,2014-07-20,5.45,5.5,5.46,3676091118,1227
34,10000002,2014-07-21,5.42,5.58,5.51,24827181391,2224
34,10000030,2014-07-21,5.3099,5.45,5.33,1910916183,675
34,10000032,2014-07-21,5.5599,5.63,5.58,2637962001,1079
34,10000042,2014-07-21,5.3099,5.45,5.41,546618007,553
34,10000043,2014-07-21,5.28,5.44,5.42,3726854664,1037
34,10000002,2014-07-22,5.23,5.45,5.37,11043171414,2074
34,10000030,2014-07-22,5.3099,5.49,5.32,1369289786,584
34,10000032,2014-07-22,5.16,5.51,5.36,1458148946,890
34,10000042,2014-07-22,5.29,5.43,5.39,520454496,506
34,10000043,2014-07-22,5.18,5.55,5.39,3482844800,888
34,10000002,2014-07-23,5.2699,5.42,5.36,10954281260,2338
34,10000030,2014-07-23,5.29,5.39,5.3099,564146946,697
34,10000032,2014-07-23,5.2,5.5199,5.35,1183300884,1025
34,10000042,2014-07-23,5.3,5.35,5.33,810464938,609
34,10000043,2014-07-23,5.18,5.37,5.24,3324403660,1019
34,10000002,2014-07-24,5.3,5.43,5.4,13583639316,2461
34,10000030,2014-07-24,5.3099,5.35,5.34,927098786,777
34,10000032,2014-07-24,5.14,5.4,5.2,752783310,1021
34,10000042,2014-07-24,5.12,5.4,5.3,786591481,576
34,10000043,2014-07-24,5.18,5.5599,5.33,2863216289,949
34,10000002,2014-07-25,5.45,5.54,5.5,13804737165,2360
34,10000030,2014-07-25,5.22,5.48,5.3,1244660705,732
34,10000032,2014-07-25,5.21,5.33,5.23,1557291396,1012
34,10000042,2014-07-25,5.45,5.5,5.5,605582901,593
34,10000043,2014-07-25,5.14,5.4,5.21,2702932014,1053
34,10000002,2014-07-26,5.44,5.59,5.51,12200242628,2571
34,10000030,2014-07-26,5.25,5.3,5.29,2012181848,953
34,10000032,2014-07-26,5.16,5.33,5.32,1745163921,1325
34,10000042,2014-07-26,5.28,5.29,5.28,688582660,640
34,10000043,2014-07-26,5.24,5.3,5.28,3850490786,1223
34,10000002,2014-07-27,5.38,5.5,5.45,20880385387,2607
34,10000030,2014-07-27,5.22,5.26,5.23,1321830329,968
34,10000032,2014-07-27,5.24,5.32,5.28,1561048436,1358
34,10000042,2014-07-27,5.3,5.5,5.42,591491928,675
34,10000043,2014-07-27,0.1,14.0,5.2069,3989618852,1436
34,10000002,2014-07-28,3.39,10.0,5.3132,12645588190,2708
34,10000030,2014-07-28,5.25,5.37,5.3,1217604584,829
34,10000032,2014-07-28,5.28,5.3099,5.29,1162125536,1078
34,10000042,2014-07-28,4.9,5.29,5.28,769795015,521
